#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BRAF	PIK3CB	9606.ENSP00000419060	9606.ENSP00000501150	0	0	0	0	0.078	0.069	0	0.525	0.557
BRAF	PIK3R1	9606.ENSP00000419060	9606.ENSP00000428056	0	0	0	0	0.049	0.093	0	0.574	0.600
BRAF	AKT1	9606.ENSP00000419060	9606.ENSP00000451828	0	0	0.131	0.586	0	0.631	0	0.376	0.783
BRAF	PRKCB	9606.ENSP00000419060	9606.ENSP00000496129	0	0	0	0.578	0	0.050	0.900	0.126	0.909
CASP9	MAPK1	9606.ENSP00000330237	9606.ENSP00000215832	0	0	0	0	0.076	0.294	0.400	0.642	0.841
CASP9	CCND1	9606.ENSP00000330237	9606.ENSP00000227507	0	0	0	0	0.055	0	0	0.841	0.844
CASP9	KRAS	9606.ENSP00000330237	9606.ENSP00000256078	0	0	0	0	0.062	0.053	0	0.615	0.628
CASP9	CDK4	9606.ENSP00000330237	9606.ENSP00000257904	0	0	0	0	0.104	0	0	0.637	0.661
CASP9	MAPK3	9606.ENSP00000330237	9606.ENSP00000263025	0	0	0	0	0.261	0.045	0.400	0.756	0.883
CASP9	PIK3CA	9606.ENSP00000330237	9606.ENSP00000263967	0	0	0	0	0.085	0.062	0	0.553	0.583
CASP9	STAT3	9606.ENSP00000330237	9606.ENSP00000264657	0	0	0	0	0.064	0	0	0.639	0.648
CASP9	EGF	9606.ENSP00000330237	9606.ENSP00000265171	0	0	0	0	0	0	0	0.537	0.537
CASP9	CDK6	9606.ENSP00000330237	9606.ENSP00000265734	0	0	0	0	0.104	0	0	0.540	0.570
CASP9	RB1	9606.ENSP00000330237	9606.ENSP00000267163	0	0	0	0	0.049	0.292	0	0.362	0.532
CASP9	TP53	9606.ENSP00000330237	9606.ENSP00000269305	0	0	0	0	0.067	0	0	0.952	0.953
CASP9	ERBB2	9606.ENSP00000330237	9606.ENSP00000269571	0	0	0	0	0.061	0	0	0.562	0.571
CASP9	EGFR	9606.ENSP00000330237	9606.ENSP00000275493	0	0	0	0	0.054	0	0	0.750	0.753
CASP9	BAX	9606.ENSP00000330237	9606.ENSP00000293288	0	0	0	0	0.108	0.349	0	0.773	0.856
CASP9	STAT5B	9606.ENSP00000330237	9606.ENSP00000293328	0	0	0	0	0.144	0	0	0.343	0.414
CASP9	MAP2K1	9606.ENSP00000330237	9606.ENSP00000302486	0	0	0	0	0.092	0	0	0.475	0.503
CASP9	GADD45A	9606.ENSP00000330237	9606.ENSP00000360025	0	0	0	0	0.049	0	0	0.413	0.417
CASP9	BRAF	9606.ENSP00000330237	9606.ENSP00000419060	0	0	0	0	0.042	0.067	0	0.400	0.417
CASP9	CDKN2A	9606.ENSP00000330237	9606.ENSP00000418915	0	0	0	0	0	0.076	0	0.432	0.452
CASP9	RAF1	9606.ENSP00000330237	9606.ENSP00000401888	0	0	0	0	0.043	0.067	0	0.439	0.456
CASP9	E2F1	9606.ENSP00000330237	9606.ENSP00000345571	0	0	0	0	0.049	0	0	0.470	0.474
CASP9	HRAS	9606.ENSP00000330237	9606.ENSP00000407586	0	0	0	0	0.055	0.053	0	0.534	0.546
CASP9	PIK3CB	9606.ENSP00000330237	9606.ENSP00000501150	0	0	0	0	0.092	0.062	0	0.514	0.550
CASP9	BAD	9606.ENSP00000330237	9606.ENSP00000378040	0	0	0	0	0.062	0	0	0.567	0.577
CASP9	PDPK1	9606.ENSP00000330237	9606.ENSP00000344220	0	0	0	0	0.095	0	0.500	0.255	0.633
CASP9	BAK1	9606.ENSP00000330237	9606.ENSP00000363591	0	0	0	0	0.067	0.125	0	0.622	0.664
CASP9	FOXO3	9606.ENSP00000330237	9606.ENSP00000339527	0	0	0	0	0.067	0	0	0.674	0.683
CASP9	CDKN1A	9606.ENSP00000330237	9606.ENSP00000384849	0	0	0	0	0.051	0	0	0.709	0.713
CASP9	AKT3	9606.ENSP00000330237	9606.ENSP00000500582	0	0	0	0	0	0.067	0.900	0.381	0.937
CASP9	AKT2	9606.ENSP00000330237	9606.ENSP00000375892	0	0	0	0	0.049	0.067	0.900	0.424	0.942
CASP9	AKT1	9606.ENSP00000330237	9606.ENSP00000451828	0	0	0	0	0.085	0.067	0.900	0.887	0.989
CCND1	MAPK1	9606.ENSP00000227507	9606.ENSP00000215832	0	0	0	0	0.060	0.292	0	0.562	0.683
CCND1	PIK3R2	9606.ENSP00000227507	9606.ENSP00000222254	0	0	0	0	0.043	0	0	0.461	0.462
CCND1	HGF	9606.ENSP00000227507	9606.ENSP00000222390	0	0	0	0	0	0	0	0.526	0.526
CCND1	FHIT	9606.ENSP00000227507	9606.ENSP00000418582	0	0	0	0	0	0	0	0.425	0.425
CCND1	PRKCA	9606.ENSP00000227507	9606.ENSP00000408695	0	0	0	0	0.066	0	0	0.446	0.460
CCND1	PIK3R1	9606.ENSP00000227507	9606.ENSP00000428056	0	0	0	0	0	0	0	0.474	0.474
CCND1	GADD45A	9606.ENSP00000227507	9606.ENSP00000360025	0	0	0	0	0.044	0	0	0.520	0.521
CCND1	TGFA	9606.ENSP00000227507	9606.ENSP00000404131	0	0	0	0	0	0	0	0.541	0.541
CCND1	ALK	9606.ENSP00000227507	9606.ENSP00000373700	0	0	0	0	0	0	0	0.549	0.549
CCND1	BAX	9606.ENSP00000227507	9606.ENSP00000293288	0	0	0	0	0.052	0	0	0.546	0.552
CCND1	AKT3	9606.ENSP00000227507	9606.ENSP00000500582	0	0	0	0	0.081	0	0	0.537	0.557
CCND1	RXRA	9606.ENSP00000227507	9606.ENSP00000419692	0	0	0	0	0.055	0	0	0.555	0.562
CCND1	RAF1	9606.ENSP00000227507	9606.ENSP00000401888	0	0	0	0	0	0	0	0.581	0.581
CCND1	STAT5B	9606.ENSP00000227507	9606.ENSP00000293328	0	0	0	0	0.059	0.091	0	0.573	0.602
CCND1	STAT5A	9606.ENSP00000227507	9606.ENSP00000341208	0	0	0	0	0.059	0.091	0	0.574	0.603
CCND1	MET	9606.ENSP00000227507	9606.ENSP00000317272	0	0	0	0	0.109	0	0	0.629	0.655
CCND1	GRB2	9606.ENSP00000227507	9606.ENSP00000376345	0	0	0	0	0.074	0	0	0.646	0.658
CCND1	PIK3CA	9606.ENSP00000227507	9606.ENSP00000263967	0	0	0	0	0	0	0	0.704	0.704
CCND1	AKT2	9606.ENSP00000227507	9606.ENSP00000375892	0	0	0	0	0.081	0	0	0.705	0.717
CCND1	EGF	9606.ENSP00000227507	9606.ENSP00000265171	0	0	0	0	0	0	0	0.731	0.731
CCND1	MAPK3	9606.ENSP00000227507	9606.ENSP00000263025	0	0	0	0	0.060	0	0	0.739	0.744
CCND1	HRAS	9606.ENSP00000227507	9606.ENSP00000407586	0	0	0	0	0.077	0.071	0	0.728	0.747
CCND1	MAP2K1	9606.ENSP00000227507	9606.ENSP00000302486	0	0	0	0	0.059	0	0	0.746	0.751
CCND1	FOXO3	9606.ENSP00000227507	9606.ENSP00000339527	0	0	0	0	0	0	0.400	0.610	0.756
CCND1	NRAS	9606.ENSP00000227507	9606.ENSP00000358548	0	0	0	0	0.058	0.071	0	0.780	0.791
CCND1	KRAS	9606.ENSP00000227507	9606.ENSP00000256078	0	0	0	0	0.058	0.101	0	0.821	0.835
CCND1	EGFR	9606.ENSP00000227507	9606.ENSP00000275493	0	0	0	0	0.141	0.106	0	0.809	0.841
CCND1	CASP9	9606.ENSP00000227507	9606.ENSP00000330237	0	0	0	0	0.055	0	0	0.841	0.844
CCND1	BRAF	9606.ENSP00000227507	9606.ENSP00000419060	0	0	0	0	0	0	0	0.864	0.864
CCND1	E2F2	9606.ENSP00000227507	9606.ENSP00000355249	0	0	0	0	0	0.068	0.500	0.746	0.871
CCND1	E2F3	9606.ENSP00000227507	9606.ENSP00000262904	0	0	0	0	0	0.068	0.500	0.764	0.880
CCND1	ERBB2	9606.ENSP00000227507	9606.ENSP00000269571	0	0	0	0	0.084	0.301	0	0.862	0.904
CCND1	AKT1	9606.ENSP00000227507	9606.ENSP00000451828	0	0	0	0	0.088	0	0	0.919	0.923
CCND1	E2F1	9606.ENSP00000227507	9606.ENSP00000345571	0	0	0	0	0.062	0.068	0.500	0.876	0.938
CCND1	RASSF1	9606.ENSP00000227507	9606.ENSP00000349547	0	0	0	0	0	0	0.900	0.479	0.945
CCND1	TP53	9606.ENSP00000227507	9606.ENSP00000269305	0	0	0	0	0	0.292	0	0.928	0.946
CCND1	STAT3	9606.ENSP00000227507	9606.ENSP00000264657	0	0	0	0	0.054	0.644	0.500	0.898	0.980
CCND1	RB1	9606.ENSP00000227507	9606.ENSP00000267163	0	0	0	0	0	0.932	0.900	0.831	0.998
CCND1	CDKN2A	9606.ENSP00000227507	9606.ENSP00000418915	0	0	0	0	0	0.726	0.900	0.946	0.998
CCND1	CDK4	9606.ENSP00000227507	9606.ENSP00000257904	0	0	0	0	0.131	0.999	0.900	0.999	0.999
CCND1	CDK6	9606.ENSP00000227507	9606.ENSP00000265734	0	0	0	0	0.112	0.995	0.900	0.998	0.999
CCND1	CDKN1A	9606.ENSP00000227507	9606.ENSP00000384849	0	0	0	0	0.118	0.996	0.900	0.995	0.999
CDK4	HGF	9606.ENSP00000257904	9606.ENSP00000222390	0	0	0	0	0	0.193	0	0.397	0.493
CDK4	CCND1	9606.ENSP00000257904	9606.ENSP00000227507	0	0	0	0	0.131	0.999	0.900	0.999	0.999
CDK4	KRAS	9606.ENSP00000257904	9606.ENSP00000256078	0	0	0	0	0.067	0.195	0	0.684	0.743
CDK4	STAT5B	9606.ENSP00000257904	9606.ENSP00000293328	0	0	0	0	0.067	0.093	0	0.360	0.411
CDK4	BRAF	9606.ENSP00000257904	9606.ENSP00000419060	0	0	0	0.610	0	0.098	0	0.385	0.422
CDK4	MAP2K1	9606.ENSP00000257904	9606.ENSP00000302486	0	0	0.124	0.643	0.106	0.091	0	0.285	0.424
CDK4	BAX	9606.ENSP00000257904	9606.ENSP00000293288	0	0	0	0	0.065	0	0	0.412	0.427
CDK4	MET	9606.ENSP00000257904	9606.ENSP00000317272	0	0	0	0.607	0.050	0.238	0	0.272	0.427
CDK4	STAT5A	9606.ENSP00000257904	9606.ENSP00000341208	0	0	0	0	0.086	0.093	0	0.368	0.430
CDK4	GADD45A	9606.ENSP00000257904	9606.ENSP00000360025	0	0	0	0	0	0	0	0.447	0.447
CDK4	PIK3R1	9606.ENSP00000257904	9606.ENSP00000428056	0	0	0	0	0.042	0	0	0.448	0.448
CDK4	RASSF1	9606.ENSP00000257904	9606.ENSP00000349547	0	0	0	0	0	0.210	0	0.400	0.506
CDK4	JAK3	9606.ENSP00000257904	9606.ENSP00000432511	0	0	0	0.612	0.110	0.398	0	0.174	0.519
CDK4	EML4	9606.ENSP00000257904	9606.ENSP00000320663	0	0	0	0	0.200	0.135	0	0.378	0.532
CDK4	GRB2	9606.ENSP00000257904	9606.ENSP00000376345	0	0	0	0	0.108	0	0	0.497	0.532
CDK4	ERBB2	9606.ENSP00000257904	9606.ENSP00000269571	0	0	0	0.594	0	0.315	0	0.350	0.536
CDK4	PIK3CB	9606.ENSP00000257904	9606.ENSP00000501150	0	0	0	0	0	0	0	0.581	0.581
CDK4	EGF	9606.ENSP00000257904	9606.ENSP00000265171	0	0	0	0	0	0	0	0.602	0.602
CDK4	STAT3	9606.ENSP00000257904	9606.ENSP00000264657	0	0	0	0	0.055	0.093	0	0.613	0.640
CDK4	CASP9	9606.ENSP00000257904	9606.ENSP00000330237	0	0	0	0	0.104	0	0	0.637	0.661
CDK4	HRAS	9606.ENSP00000257904	9606.ENSP00000407586	0	0	0	0	0.081	0.190	0	0.599	0.676
CDK4	AKT1	9606.ENSP00000257904	9606.ENSP00000451828	0	0	0.112	0.601	0.068	0.231	0	0.572	0.691
CDK4	FOXO3	9606.ENSP00000257904	9606.ENSP00000339527	0	0	0	0	0	0.117	0	0.677	0.703
CDK4	PIK3CA	9606.ENSP00000257904	9606.ENSP00000263967	0	0	0	0	0	0	0	0.709	0.709
CDK4	E2F2	9606.ENSP00000257904	9606.ENSP00000355249	0	0	0	0	0.042	0.091	0.500	0.606	0.805
CDK4	E2F3	9606.ENSP00000257904	9606.ENSP00000262904	0	0	0	0	0.049	0.091	0.500	0.614	0.811
CDK4	NRAS	9606.ENSP00000257904	9606.ENSP00000358548	0	0	0	0	0.119	0.191	0	0.771	0.822
CDK4	E2F1	9606.ENSP00000257904	9606.ENSP00000345571	0	0	0	0	0.110	0.091	0.500	0.908	0.958
CDK4	TP53	9606.ENSP00000257904	9606.ENSP00000269305	0	0	0	0	0.117	0.554	0	0.922	0.966
CDK4	RB1	9606.ENSP00000257904	9606.ENSP00000267163	0	0	0	0	0.077	0.994	0.900	0.984	0.999
CDK4	CDKN2A	9606.ENSP00000257904	9606.ENSP00000418915	0	0	0	0	0.058	0.994	0.900	0.999	0.999
CDK4	CDKN1A	9606.ENSP00000257904	9606.ENSP00000384849	0	0	0	0	0.103	0.999	0.900	0.998	0.999
CDK4	CDK6	9606.ENSP00000257904	9606.ENSP00000265734	0	0	0.055	0.970	0.072	0.720	0.900	0.983	0.999
CDK6	CCND1	9606.ENSP00000265734	9606.ENSP00000227507	0	0	0	0	0.112	0.995	0.900	0.998	0.999
CDK6	KRAS	9606.ENSP00000265734	9606.ENSP00000256078	0	0	0	0	0.067	0.095	0	0.603	0.636
CDK6	CDK4	9606.ENSP00000265734	9606.ENSP00000257904	0	0	0.055	0.970	0.072	0.720	0.900	0.983	0.999
CDK6	E2F3	9606.ENSP00000265734	9606.ENSP00000262904	0	0	0	0	0.067	0.091	0.500	0.650	0.832
CDK6	PIK3CA	9606.ENSP00000265734	9606.ENSP00000263967	0	0	0	0	0	0	0	0.596	0.596
CDK6	STAT3	9606.ENSP00000265734	9606.ENSP00000264657	0	0	0	0	0.055	0.095	0	0.872	0.881
CDK6	EGF	9606.ENSP00000265734	9606.ENSP00000265171	0	0	0	0	0	0	0	0.462	0.462
CDK6	RASSF1	9606.ENSP00000265734	9606.ENSP00000349547	0	0	0	0	0	0.209	0	0.303	0.425
CDK6	PIK3R1	9606.ENSP00000265734	9606.ENSP00000428056	0	0	0	0	0.044	0	0	0.434	0.435
CDK6	AKT1	9606.ENSP00000265734	9606.ENSP00000451828	0	0	0	0.603	0.042	0.228	0	0.307	0.443
CDK6	MET	9606.ENSP00000265734	9606.ENSP00000317272	0	0	0	0.608	0.102	0.240	0	0.259	0.450
CDK6	EML4	9606.ENSP00000265734	9606.ENSP00000320663	0	0	0	0	0.215	0.135	0	0.255	0.450
CDK6	PIK3CB	9606.ENSP00000265734	9606.ENSP00000501150	0	0	0	0	0.042	0	0	0.515	0.516
CDK6	NRAS	9606.ENSP00000265734	9606.ENSP00000358548	0	0	0	0	0.108	0.095	0	0.503	0.564
CDK6	CASP9	9606.ENSP00000265734	9606.ENSP00000330237	0	0	0	0	0.104	0	0	0.540	0.570
CDK6	GADD45A	9606.ENSP00000265734	9606.ENSP00000360025	0	0	0	0	0.057	0	0	0.606	0.612
CDK6	HRAS	9606.ENSP00000265734	9606.ENSP00000407586	0	0	0	0	0.067	0.095	0	0.641	0.670
CDK6	E2F2	9606.ENSP00000265734	9606.ENSP00000355249	0	0	0	0	0.044	0.091	0.500	0.545	0.776
CDK6	FOXO3	9606.ENSP00000265734	9606.ENSP00000339527	0	0	0	0	0	0.229	0	0.754	0.802
CDK6	TP53	9606.ENSP00000265734	9606.ENSP00000269305	0	0	0	0	0.063	0.179	0	0.771	0.808
CDK6	E2F1	9606.ENSP00000265734	9606.ENSP00000345571	0	0	0	0	0.075	0.091	0.500	0.856	0.931
CDK6	RB1	9606.ENSP00000265734	9606.ENSP00000267163	0	0	0	0	0.095	0.871	0.900	0.840	0.997
CDK6	CDKN1A	9606.ENSP00000265734	9606.ENSP00000384849	0	0	0	0	0.087	0.994	0.900	0.994	0.999
CDK6	CDKN2A	9606.ENSP00000265734	9606.ENSP00000418915	0	0	0	0	0.044	0.999	0.900	0.998	0.999
CDKN1A	GADD45B	9606.ENSP00000384849	9606.ENSP00000215631	0	0	0	0	0.215	0.046	0	0.703	0.758
CDKN1A	MAPK1	9606.ENSP00000384849	9606.ENSP00000215832	0	0	0	0	0	0	0	0.732	0.732
CDKN1A	CCND1	9606.ENSP00000384849	9606.ENSP00000227507	0	0	0	0	0.118	0.996	0.900	0.995	0.999
CDKN1A	GADD45G	9606.ENSP00000384849	9606.ENSP00000252506	0	0	0	0	0.088	0.513	0	0.439	0.729
CDKN1A	KRAS	9606.ENSP00000384849	9606.ENSP00000256078	0	0	0	0	0.055	0.053	0	0.568	0.579
CDKN1A	DDB2	9606.ENSP00000384849	9606.ENSP00000256996	0	0	0	0	0.065	0.292	0	0.587	0.702
CDKN1A	CDK4	9606.ENSP00000384849	9606.ENSP00000257904	0	0	0	0	0.103	0.999	0.900	0.998	0.999
CDKN1A	E2F3	9606.ENSP00000384849	9606.ENSP00000262904	0	0	0	0	0	0	0.500	0.550	0.765
CDKN1A	MAPK3	9606.ENSP00000384849	9606.ENSP00000263025	0	0	0	0	0.044	0	0	0.606	0.608
CDKN1A	PIK3CA	9606.ENSP00000384849	9606.ENSP00000263967	0	0	0	0	0	0	0	0.445	0.445
CDKN1A	STAT3	9606.ENSP00000384849	9606.ENSP00000264657	0	0	0	0	0.125	0.828	0.500	0.815	0.984
CDKN1A	EGF	9606.ENSP00000384849	9606.ENSP00000265171	0	0	0	0	0	0	0	0.570	0.570
CDKN1A	CDK6	9606.ENSP00000384849	9606.ENSP00000265734	0	0	0	0	0.087	0.994	0.900	0.994	0.999
CDKN1A	RB1	9606.ENSP00000384849	9606.ENSP00000267163	0	0	0	0	0	0.332	0.500	0.658	0.876
CDKN1A	TP53	9606.ENSP00000384849	9606.ENSP00000269305	0	0	0	0	0	0.925	0.900	0.960	0.999
CDKN1A	ERBB2	9606.ENSP00000384849	9606.ENSP00000269571	0	0	0	0	0	0	0	0.588	0.588
CDKN1A	EGFR	9606.ENSP00000384849	9606.ENSP00000275493	0	0	0	0	0.061	0	0	0.746	0.752
CDKN1A	BAX	9606.ENSP00000384849	9606.ENSP00000293288	0	0	0	0	0.111	0	0	0.466	0.505
CDKN1A	STAT5B	9606.ENSP00000384849	9606.ENSP00000293328	0	0	0	0	0.063	0.097	0.750	0.533	0.887
CDKN1A	MAP2K1	9606.ENSP00000384849	9606.ENSP00000302486	0	0	0	0	0.054	0	0	0.447	0.454
CDKN1A	CASP9	9606.ENSP00000384849	9606.ENSP00000330237	0	0	0	0	0.051	0	0	0.709	0.713
CDKN1A	FOXO3	9606.ENSP00000384849	9606.ENSP00000339527	0	0	0	0	0.072	0.294	0	0.994	0.995
CDKN1A	STAT5A	9606.ENSP00000384849	9606.ENSP00000341208	0	0	0	0	0.086	0	0.750	0.392	0.848
CDKN1A	PDPK1	9606.ENSP00000384849	9606.ENSP00000344220	0	0	0	0	0	0	0.500	0.257	0.612
CDKN1A	E2F1	9606.ENSP00000384849	9606.ENSP00000345571	0	0	0	0	0	0.226	0.500	0.947	0.977
CDKN1A	RASSF1	9606.ENSP00000384849	9606.ENSP00000349547	0	0	0	0	0.042	0	0	0.400	0.400
CDKN1A	E2F2	9606.ENSP00000384849	9606.ENSP00000355249	0	0	0	0	0	0	0.500	0.575	0.778
CDKN1A	NRAS	9606.ENSP00000384849	9606.ENSP00000358548	0	0	0	0	0.055	0.053	0	0.453	0.468
CDKN1A	GADD45A	9606.ENSP00000384849	9606.ENSP00000360025	0	0	0	0	0.163	0.625	0	0.926	0.974
CDKN1A	BAK1	9606.ENSP00000384849	9606.ENSP00000363591	0	0	0	0	0.106	0	0	0.393	0.435
CDKN1A	AKT2	9606.ENSP00000384849	9606.ENSP00000375892	0	0	0	0	0	0.296	0.900	0.415	0.955
CDKN1A	PIK3CB	9606.ENSP00000384849	9606.ENSP00000501150	0	0	0	0	0	0	0	0.432	0.432
CDKN1A	BRAF	9606.ENSP00000384849	9606.ENSP00000419060	0	0	0	0	0	0.047	0	0.505	0.508
CDKN1A	PIK3R1	9606.ENSP00000384849	9606.ENSP00000428056	0	0	0	0	0	0	0.400	0.321	0.575
CDKN1A	HRAS	9606.ENSP00000384849	9606.ENSP00000407586	0	0	0	0	0.072	0.053	0	0.660	0.675
CDKN1A	AKT3	9606.ENSP00000384849	9606.ENSP00000500582	0	0	0	0	0	0.047	0.900	0.520	0.950
CDKN1A	CDKN2A	9606.ENSP00000384849	9606.ENSP00000418915	0	0	0	0	0.060	0.049	0.500	0.933	0.966
CDKN1A	AKT1	9606.ENSP00000384849	9606.ENSP00000451828	0	0	0	0	0	0.776	0.900	0.833	0.995
CDKN2A	GADD45B	9606.ENSP00000418915	9606.ENSP00000215631	0	0	0	0	0	0	0	0.526	0.526
CDKN2A	MAPK1	9606.ENSP00000418915	9606.ENSP00000215832	0	0	0	0	0.049	0.350	0	0.771	0.846
CDKN2A	HGF	9606.ENSP00000418915	9606.ENSP00000222390	0	0	0	0	0	0.212	0	0.445	0.544
CDKN2A	CCND1	9606.ENSP00000418915	9606.ENSP00000227507	0	0	0	0	0	0.726	0.900	0.946	0.998
CDKN2A	GADD45G	9606.ENSP00000418915	9606.ENSP00000252506	0	0	0	0	0	0	0	0.525	0.525
CDKN2A	KRAS	9606.ENSP00000418915	9606.ENSP00000256078	0	0	0	0	0.055	0.102	0.900	0.917	0.992
CDKN2A	CDK4	9606.ENSP00000418915	9606.ENSP00000257904	0	0	0	0	0.058	0.994	0.900	0.999	0.999
CDKN2A	E2F3	9606.ENSP00000418915	9606.ENSP00000262904	0	0	0	0	0.042	0.041	0	0.666	0.666
CDKN2A	MAPK3	9606.ENSP00000418915	9606.ENSP00000263025	0	0	0	0	0.054	0.254	0	0.545	0.651
CDKN2A	PIK3CA	9606.ENSP00000418915	9606.ENSP00000263967	0	0	0	0	0	0	0	0.791	0.791
CDKN2A	STAT3	9606.ENSP00000418915	9606.ENSP00000264657	0	0	0	0	0.042	0.045	0	0.615	0.617
CDKN2A	EGF	9606.ENSP00000418915	9606.ENSP00000265171	0	0	0	0	0	0	0	0.596	0.596
CDKN2A	CDK6	9606.ENSP00000418915	9606.ENSP00000265734	0	0	0	0	0.044	0.999	0.900	0.998	0.999
CDKN2A	RB1	9606.ENSP00000418915	9606.ENSP00000267163	0	0	0	0	0	0.052	0	0.842	0.843
CDKN2A	TP53	9606.ENSP00000418915	9606.ENSP00000269305	0	0	0	0	0	0.874	0.900	0.970	0.999
CDKN2A	ERBB2	9606.ENSP00000418915	9606.ENSP00000269571	0	0	0	0	0.062	0.045	0	0.767	0.773
CDKN2A	EGFR	9606.ENSP00000418915	9606.ENSP00000275493	0	0	0	0	0.069	0.045	0	0.906	0.910
CDKN2A	ARAF	9606.ENSP00000418915	9606.ENSP00000290277	0	0	0	0	0	0.095	0	0.378	0.413
CDKN2A	STAT5B	9606.ENSP00000418915	9606.ENSP00000293328	0	0	0	0	0.042	0.045	0	0.405	0.408
CDKN2A	MAP2K1	9606.ENSP00000418915	9606.ENSP00000302486	0	0	0	0	0.057	0.131	0	0.571	0.618
CDKN2A	MET	9606.ENSP00000418915	9606.ENSP00000317272	0	0	0	0	0	0.095	0	0.536	0.562
CDKN2A	EML4	9606.ENSP00000418915	9606.ENSP00000320663	0	0	0	0	0.042	0.099	0	0.399	0.436
CDKN2A	CASP9	9606.ENSP00000418915	9606.ENSP00000330237	0	0	0	0	0	0.076	0	0.432	0.452
CDKN2A	RARB	9606.ENSP00000418915	9606.ENSP00000332296	0	0	0	0	0	0	0	0.666	0.666
CDKN2A	FOXO3	9606.ENSP00000418915	9606.ENSP00000339527	0	0	0	0	0	0.059	0	0.756	0.760
CDKN2A	STAT5A	9606.ENSP00000418915	9606.ENSP00000341208	0	0	0	0	0	0.045	0	0.418	0.421
CDKN2A	E2F1	9606.ENSP00000418915	9606.ENSP00000345571	0	0	0	0	0.067	0.621	0	0.921	0.969
CDKN2A	RASSF1	9606.ENSP00000418915	9606.ENSP00000349547	0	0	0	0	0	0.173	0	0.878	0.894
CDKN2A	E2F2	9606.ENSP00000418915	9606.ENSP00000355249	0	0	0	0	0	0.041	0	0.648	0.648
CDKN2A	NRAS	9606.ENSP00000418915	9606.ENSP00000358548	0	0	0	0	0.055	0.102	0.900	0.837	0.984
CDKN2A	GADD45A	9606.ENSP00000418915	9606.ENSP00000360025	0	0	0	0	0	0	0	0.505	0.505
CDKN2A	ALK	9606.ENSP00000418915	9606.ENSP00000373700	0	0	0	0	0	0.095	0	0.644	0.664
CDKN2A	AKT2	9606.ENSP00000418915	9606.ENSP00000375892	0	0	0	0	0.042	0.095	0	0.433	0.465
CDKN2A	CDKN1A	9606.ENSP00000418915	9606.ENSP00000384849	0	0	0	0	0.060	0.049	0.500	0.933	0.966
CDKN2A	RAF1	9606.ENSP00000418915	9606.ENSP00000401888	0	0	0	0	0.042	0.233	0	0.446	0.557
CDKN2A	HRAS	9606.ENSP00000418915	9606.ENSP00000407586	0	0	0	0	0.055	0.160	0.900	0.893	0.990
CDKN2A	FHIT	9606.ENSP00000418915	9606.ENSP00000418582	0	0	0	0	0	0.047	0	0.700	0.701
CDKN2A	AKT3	9606.ENSP00000418915	9606.ENSP00000500582	0	0	0	0	0	0.095	0	0.419	0.451
CDKN2A	PIK3CB	9606.ENSP00000418915	9606.ENSP00000501150	0	0	0	0	0	0	0	0.457	0.457
CDKN2A	PIK3R1	9606.ENSP00000418915	9606.ENSP00000428056	0	0	0	0	0.042	0	0	0.525	0.525
CDKN2A	JAK3	9606.ENSP00000418915	9606.ENSP00000432511	0	0	0	0	0	0.095	0	0.506	0.533
CDKN2A	AKT1	9606.ENSP00000418915	9606.ENSP00000451828	0	0	0	0	0.042	0.229	0	0.834	0.866
CDKN2A	BRAF	9606.ENSP00000418915	9606.ENSP00000419060	0	0	0	0	0	0.095	0	0.886	0.892
DDB2	MAPK1	9606.ENSP00000256996	9606.ENSP00000215832	0	0	0	0	0.049	0	0	0.431	0.436
DDB2	E2F1	9606.ENSP00000256996	9606.ENSP00000345571	0	0	0	0	0.044	0.292	0	0.336	0.511
DDB2	GADD45A	9606.ENSP00000256996	9606.ENSP00000360025	0	0	0	0	0.049	0	0	0.618	0.621
DDB2	CDKN1A	9606.ENSP00000256996	9606.ENSP00000384849	0	0	0	0	0.065	0.292	0	0.587	0.702
DDB2	TP53	9606.ENSP00000256996	9606.ENSP00000269305	0	0	0	0	0.202	0.095	0.900	0.745	0.979
E2F1	CCND1	9606.ENSP00000345571	9606.ENSP00000227507	0	0	0	0	0.062	0.068	0.500	0.876	0.938
E2F1	KRAS	9606.ENSP00000345571	9606.ENSP00000256078	0	0	0	0	0	0	0	0.591	0.591
E2F1	DDB2	9606.ENSP00000345571	9606.ENSP00000256996	0	0	0	0	0.044	0.292	0	0.336	0.511
E2F1	CDK4	9606.ENSP00000345571	9606.ENSP00000257904	0	0	0	0	0.110	0.091	0.500	0.908	0.958
E2F1	E2F3	9606.ENSP00000345571	9606.ENSP00000262904	0	0	0.066	0.860	0.078	0.599	0.900	0.499	0.979
E2F1	MAPK3	9606.ENSP00000345571	9606.ENSP00000263025	0	0	0	0	0.044	0	0	0.450	0.452
E2F1	PIK3CA	9606.ENSP00000345571	9606.ENSP00000263967	0	0	0	0	0	0	0	0.400	0.400
E2F1	STAT3	9606.ENSP00000345571	9606.ENSP00000264657	0	0	0	0	0	0	0.500	0.611	0.797
E2F1	EGF	9606.ENSP00000345571	9606.ENSP00000265171	0	0	0	0	0.057	0	0	0.448	0.457
E2F1	CDK6	9606.ENSP00000345571	9606.ENSP00000265734	0	0	0	0	0.075	0.091	0.500	0.856	0.931
